Model,Accuracy,Precision,Recall,Macro-F1,Balanced Acc,Tahap,CV_Macro-F1
KNN,0.7672316384180791,0.7744894962610255,0.767323268949879,0.7657237876903149,0.767323268949879,Baseline,
Naive Bayes,0.7322033898305085,0.7545056383407169,0.7323703053021868,0.7262975891429877,0.7323703053021868,Baseline,
SVM,0.8214689265536723,0.8270649350649351,0.8215427514989326,0.8207252530847103,0.8215427514989326,Baseline,
KNN,0.8090395480225989,0.8138703354145491,0.8091095267765033,0.8083259324190801,0.8091095267765033,Optimized,0.831251961391969
Naive Bayes,0.7367231638418079,0.7771213876975641,0.7369386024943057,0.7268811564487994,0.7369386024943057,Optimized,0.753182971298728
SVM,0.8169491525423729,0.8207052441229656,0.8170102039774062,0.816431417538181,0.8170102039774062,Optimized,0.8496112530517503
